benchmark,run_name,protocol,num_clients,alpha,seed,rounds,split_point,run_id,round,eval_auprc,eval_auroc,eval_f1,eval_precision,eval_recall,eval_bmr_risk,eval_bmr_f1,eval_bmr_precision,eval_bmr_recall,eval_brier_score,eval_loss,eval_accuracy,fit_round_time,fit_elapsed_time,fit_train_time,fit_activation_comm_mb,fit_cumulative_activation_comm_mb,auprc_per_second,auprc_per_comm_mb
client_count_ablation,splitfedv1_c2_alpha0.5_seed10_r50_splitblock1_run26228,splitfedv1,2,0.5,10,50,block1,26228,50,0.7597695195276873,0.9653726393259151,0.7581699346405227,0.7435897435897436,0.7733333333333333,0.022646676731856327,0.5526315789473685,0.4117647058823529,0.8400000000000001,0.0005646664567157874,0.0032801061976908746,0.9993504441557529,2.545405626296997,295.13950753211975,2.0707190348257623,111.25244140625,5562.6220703125,0.0025742725055031895,0.00013658478140777316
client_count_ablation,splitfedv1_c3_alpha0.5_seed10_r50_splitblock1_run26230,splitfedv1,3,0.5,10,50,block1,26230,50,0.797983459870971,0.9329353513690885,0.7832167832167832,0.8235294117647058,0.7466666666666667,0.028475123766721674,0.7564102564102563,0.728395061728395,0.7866666666666667,0.0004877429358257355,0.004263898212558399,0.9994557775359011,3.303098440170288,344.30974769592285,3.0575817090145634,111.25244140625,5562.6220703125,0.00231763249577154,0.0001434545525085693
client_count_ablation,splitfedv1_c4_alpha0.5_seed10_r50_splitblock1_run26232,splitfedv1,4,0.5,10,50,block1,26232,50,0.7809341324273649,0.9282705480455404,0.8201438848920863,0.890625,0.76,0.03181068080474703,0.7916666666666666,0.8260869565217391,0.76,0.0004237765474509676,0.0056613459107381124,0.9995611109160493,3.12701416015625,389.66035318374634,2.732595605399637,111.25244140625,5562.6220703125,0.002004140595897657,0.00014038957213994104
client_count_ablation,splitfedv1_c2_alpha0.5_seed30_r50_splitblock1_run26234,splitfedv1,2,0.5,30,50,block1,26234,50,0.8090326735510032,0.942810952707414,0.7971014492753622,0.8730158730158731,0.7333333333333333,0.03005512446894421,0.8000000000000002,0.8285714285714286,0.7733333333333333,0.00045589275041216226,0.005011421370994131,0.9995084442259752,2.893270969390869,321.76715087890625,2.5557867543468036,111.25244140625,5562.6220703125,0.0025143420369081564,0.00014544088441110882
client_count_ablation,splitfedv1_c3_alpha0.5_seed30_r50_splitblock1_run26236,splitfedv1,3,0.5,30,50,block1,26236,50,0.7961173827815786,0.95390827429817,0.7891156462585035,0.8055555555555555,0.7733333333333333,0.02898423510410449,0.6378378378378379,0.5363636363636364,0.7866666666666667,0.0005049145357929928,0.003927719536587136,0.9994557775359011,2.690161943435669,315.4738984107971,2.125396922729791,111.25244140625,5562.6220703125,0.0025235602273025685,0.0001431190853375473
client_count_ablation,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,splitfedv1,4,0.5,30,50,block1,26238,50,0.8104728127239101,0.9761726463573986,0.8260869565217391,0.9047619047619048,0.76,0.03174045855131491,0.8142857142857143,0.876923076923077,0.76,0.000416887800015698,0.004670368471960452,0.9995786664794073,1.5759272575378418,319.73565459251404,1.346548758798534,111.25244140625,5562.6220703125,0.002534821503584936,0.0001456997801539264
client_count_ablation,splitfedv2_c2_alpha0.5_seed10_r50_splitblock1_run26229,splitfedv2,2,0.5,10,50,block1,26229,50,0.7860100797777773,0.9709378241074411,0.7586206896551724,0.7857142857142857,0.7333333333333333,0.028685790527018012,0.44609665427509293,0.30927835051546393,0.8000000000000002,0.0005160494547600047,0.0034487236911857,0.999385555282469,2.5274546146392822,294.969607591629,2.0604888780202475,111.25244140625,5562.6220703125,0.002664715481013114,0.00014130208197545593
client_count_ablation,splitfedv2_c3_alpha0.5_seed10_r50_splitblock1_run26231,splitfedv2,3,0.5,10,50,block1,26231,50,0.8050796216263196,0.9778208260821161,0.778523489932886,0.7837837837837838,0.7733333333333333,0.02621045609353604,0.5327510917030569,0.3961038961038961,0.8133333333333335,0.0004245708943541606,0.0027498829438939313,0.999420666409185,3.2261555194854736,342.7912664413452,2.9941779214227857,111.25244140625,5562.6220703125,0.0023486001553778683,0.00014473023898621453
client_count_ablation,splitfedv2_c4_alpha0.5_seed10_r50_splitblock1_run26233,splitfedv2,4,0.5,10,50,block1,26233,50,0.7688791480280752,0.9799117548824864,0.7647058823529411,0.8524590163934426,0.6933333333333334,0.03253045890242618,0.6162162162162163,0.5181818181818182,0.76,0.0005169343995309699,0.003308325293822234,0.9994382219725431,3.0473060607910156,384.3236451148987,2.672489891035713,111.25244140625,5562.6220703125,0.0020006032878830773,0.0001382224314917157
client_count_ablation,splitfedv2_c2_alpha0.5_seed30_r50_splitblock1_run26235,splitfedv2,2,0.5,30,50,block1,26235,50,0.8153908144060343,0.9678965903164752,0.8201438848920863,0.890625,0.76,0.02557845581264703,0.3189873417721519,0.196875,0.8400000000000001,0.00042530245192436394,0.003143658133988566,0.9995611109160493,2.90118670463562,321.02600932121277,2.564786673942028,111.25244140625,5562.6220703125,0.002539952498335327,0.000146583895885673
client_count_ablation,splitfedv2_c3_alpha0.5_seed30_r50_splitblock1_run26237,splitfedv2,3,0.5,30,50,block1,26237,50,0.7952623758887101,0.9658963676528323,0.7354838709677418,0.7125,0.7600000000000001,0.04223868543941575,0.08014571948998178,0.04198473282442748,0.88,0.0007085720987872149,0.0057903784631644,0.9992802219023208,2.655250310897827,310.59590244293213,2.105523025027623,111.25244140625,5562.6220703125,0.0025604406549916705,0.00014296537960631817
client_count_ablation,splitfedv2_c4_alpha0.5_seed30_r50_splitblock1_run26239,splitfedv2,4,0.5,30,50,block1,26239,50,0.8023910972547973,0.96464933405992,0.7714285714285716,0.8307692307692308,0.72,0.022471121098276044,0.5779816513761468,0.4405594405594406,0.8400000000000001,0.00048735414456674606,0.0032456598312925475,0.9994382219725431,1.5495288372039795,317.4322681427002,1.327055827839201,111.25244140625,5562.6220703125,0.002527755297057847,0.00014424691936867825
